hgnc_symbol	OrganelleDB.Score	Compartments.Score	CSPA.Score	LOCATE_score	LocDB.Score	GO.Score	Uniprot.Score	Goldstd.Score	Goldstd_result	NEG.control
1493	ZAN	1	0	0	0	1	0	0	0	no	0
1494	ZAP70	1	1	0	0	0	1	1	0	no	0
1495	ZTL1	1	0	0	0	0	0	0	0	no	0
1496	ZYX	1	1	0	0	1	1	0	0	no	1
1497	PCDHA1	1	1	0	1	0	1	0	1	YES	0
1498	PCDHA2	1	1	0	1	0	1	0	0	no	0
1499	PCDHA3	1	1	0	0	0	1	0	0	no	0
1500	PCDHA5	1	1	0	0	0	1	0	0	no	0
1501	PCDHA8	1	1	0	0	0	1	0	0	no	0
1502	PCDHA10	1	1	1	0	0	1	0	0	no	0
1503	PCDHA11	1	1	1	1	0	1	0	0	no	1
1504	ARF5	0	1	0	0	1	0	0	0	no	0
1505	CYP51A1	0	1	0	1	0	0	0	0	no	1
1506	USH1C	0	1	0	0	0	0	0	0	no	1
1507	RALA	0	1	0	0	1	0	1	0	no	0
1508	BAIAP2L1	0	1	0	0	0	0	0	1	YES	0
1509	DVL2	0	1	0	0	0	0	1	0	no	1
1510	SKAP2	0	1	0	0	0	0	0	0	no	1
1511	CX3CL1	0	1	0	0	0	0	0	1	YES	0
1512	OSBPL7	0	1	0	0	0	0	0	0	no	1
1513	ITGA3	0	1	1	1	0	1	1	1	YES	0
1514	CAMK1G	0	1	0	0	0	0	0	0	no	0
1515	CD74	0	1	1	1	0	0	1	0	no	1
1516	MGST1	0	1	0	1	0	0	0	0	no	1
1517	RANBP9	0	1	0	0	0	0	1	0	no	1
1518	PLEKHG6	0	1	0	0	0	0	0	0	no	1
1519	TSPAN9	0	1	1	1	0	1	0	0	no	1
1520	PPP5C	0	1	0	0	0	0	1	0	no	1
1521	NME1	0	1	0	0	0	0	0	0	no	1
1522	PSD	0	1	0	0	0	0	1	1	YES	0
1523	SYT13	0	1	0	0	1	1	0	0	no	1
1524	AKAP11	0	1	1	0	0	0	0	1	YES	0
1525	LRRC7	0	1	0	0	0	0	1	0	no	0
1526	TTC17	0	1	1	0	0	0	1	1	YES	0
1527	BEST2	0	1	0	0	0	0	0	0	no	0
1528	RTN4R	0	1	1	0	0	1	0	1	YES	0
1529	LCP2	0	1	0	0	0	0	0	0	no	0
1530	GUCA1A	0	1	0	0	0	0	0	1	YES	0
1531	VAMP3	0	1	0	1	0	0	0	0	no	0
1532	ARHGEF5	0	1	0	0	0	0	0	1	YES	0
1533	CLDN11	0	1	0	1	0	0	0	0	no	0
1534	RELT	0	1	0	1	0	1	0	0	no	1
1535	FHL1	0	1	0	0	0	0	0	1	YES	0
1536	SLC2A3	0	1	0	0	0	1	0	1	YES	0
1537	STYK1	0	1	0	0	0	1	0	1	YES	0
1538	CA11	0	1	0	0	0	0	0	0	no	1
1539	TRPM5	0	1	0	1	0	0	0	0	no	0
1540	NOX3	0	1	0	0	1	1	0	0	no	1
1541	ANO8	0	1	0	0	0	0	1	0	no	1
1542	PRSS22	0	1	0	0	0	1	0	0	no	1
1543	CELSR3	0	1	1	1	0	0	0	0	no	0
1544	BCL3	0	1	0	0	0	0	0	0	no	1
1545	EPHA8	0	1	0	1	0	1	0	0	no	0
1546	HSD17B10	0	1	0	0	0	0	0	0	no	0
1547	NMRK2	0	1	0	0	0	0	0	0	no	1
1548	P2RY10	0	1	1	1	0	1	0	0	no	0
1549	TNS1	0	1	0	0	0	0	0	0	no	1
1550	ADAM7	0	1	0	1	0	0	0	0	no	0
1551	STK10	0	1	0	0	0	0	0	0	no	0
1552	CA12	0	1	1	1	0	0	0	0	no	1
1553	TSPAN32	0	1	0	1	0	1	0	0	no	0
1554	CLDN18	0	1	0	1	0	0	0	0	no	0
1555	FAP	0	1	1	0	0	0	1	0	no	0
1556	SLC13A1	0	1	0	0	0	1	0	0	no	0
1557	MT3	0	1	0	0	0	0	0	0	no	0
1558	EPS8L1	0	1	0	0	0	0	0	0	no	1
1559	PPP1R13B	0	1	0	0	0	0	0	0	no	1
1560	RALGAPA2	0	1	0	0	0	0	0	1	YES	0
1561	SLC8B1	0	1	1	1	0	0	0	0	no	0
1562	GMIP	0	1	0	0	1	0	0	1	YES	0
1563	LAG3	0	1	0	1	1	0	0	0	no	0
1564	GLG1	0	1	1	1	0	0	0	0	no	1
1565	CMTM6	0	1	0	0	0	0	0	0	no	0
1566	APOH	0	1	1	0	1	0	0	0	no	1
1567	ESR1	0	1	0	0	0	0	1	0	no	1
1568	RGS17	0	1	0	0	1	0	0	0	no	1
1569	OSGEP	0	1	0	0	0	0	0	1	YES	0
1570	TGM1	0	1	0	0	0	0	0	0	no	0
1571	OR1I1	0	1	0	1	0	0	0	0	no	0
1572	ADH1A	0	1	0	0	0	0	0	1	YES	0
1573	RAB26	0	1	0	0	0	1	1	1	YES	0
1574	SEMA4G	0	1	1	1	0	0	0	0	no	1
1575	PRRT1	0	1	0	1	0	0	0	0	no	0
1576	TGFBR3	0	1	1	1	0	1	0	0	no	1
1577	TMED1	0	1	0	1	1	0	0	0	no	0
1578	STX1B	0	1	0	0	1	0	0	0	no	0
1579	EFNA2	0	1	0	0	1	0	0	0	no	1
1580	CBARP	0	1	0	1	0	0	0	0	no	1
1581	FGF22	0	1	0	0	0	0	0	0	no	0
1582	MISP	0	1	0	0	0	0	0	1	YES	0
1583	MADCAM1	0	1	0	1	0	0	0	0	no	0
1584	MIF	0	1	0	0	0	0	0	0	no	1
1585	MAPK1	0	1	0	0	0	0	0	0	no	0
1586	PLA2G3	0	1	1	0	0	0	0	0	no	0
1587	PDXP	0	1	0	0	0	0	1	0	no	0
1588	LGALS1	0	1	0	0	0	0	0	0	no	1
1589	PIK3IP1	0	1	0	1	0	0	0	0	no	0
1590	JOSD1	0	1	0	0	0	0	1	0	no	0
1591	DNAL4	0	1	0	0	0	0	0	0	no	1
1592	RASL10A	0	1	0	0	0	0	0	0	no	0
1593	HMOX1	0	1	0	0	0	0	0	1	YES	0
1594	NIPSNAP1	0	1	0	0	0	0	0	0	no	0
1595	RASD2	0	1	0	0	0	0	0	1	YES	0
1596	CABP7	0	1	0	0	0	0	0	0	no	0
1597	MYH9	0	1	1	0	0	1	0	1	YES	0
1598	UPK3A	0	1	0	0	1	0	0	0	no	1
1599	CERK	0	1	0	0	0	0	0	0	no	1
1600	RIPK3	0	1	0	0	0	0	0	0	no	0
1601	NID2	0	1	1	0	0	0	0	1	YES	0
1602	CTSG	0	1	0	0	0	0	0	0	no	0
1603	ATP6V1D	0	1	0	0	0	0	0	0	no	1
1604	PLEK2	0	1	0	0	1	0	0	0	no	1
1605	EIF5	0	1	0	0	0	0	0	1	YES	0
1606	NFKBIA	0	1	0	0	0	0	0	0	no	1
1607	RABGGTA	0	1	0	0	0	0	0	0	no	1
1608	CYP24A1	0	1	0	0	0	0	0	1	YES	0
1609	CTSZ	0	1	0	0	0	0	0	0	no	1
1610	SLCO4A1	0	1	1	1	0	1	0	0	no	1
1611	PTK6	0	1	0	0	0	1	0	1	YES	0
1612	SRMS	0	1	0	0	0	1	0	0	no	1
1613	TRIB3	0	1	0	0	0	0	0	0	no	1
1614	CSNK2A1	0	1	0	0	0	0	0	0	no	1
1615	SLC52A3	0	1	0	0	0	1	1	0	no	0
1616	PROKR2	0	1	0	0	0	1	0	0	no	0
1617	FERMT1	0	1	0	0	0	0	1	0	no	0
1618	SNTA1	0	1	0	0	1	0	0	0	no	0
1619	CHMP4B	0	1	0	0	0	0	0	0	no	0
1620	LBP	0	1	0	0	1	0	0	0	no	0
1621	SLC32A1	0	1	0	1	0	0	0	0	no	0
1622	PIGU	0	1	0	1	1	0	0	0	no	1
1623	APMAP	0	1	1	1	0	0	0	1	YES	0
1624	TLR8	0	1	0	1	0	1	0	0	no	0
1625	WDR13	0	1	1	0	0	0	0	1	YES	0
1626	F9	0	1	0	0	0	0	0	0	no	0
1627	BCORL1	0	1	0	0	0	0	0	1	YES	0
1628	KCND1	0	1	0	1	0	1	0	0	no	1
1629	RAB40AL	0	1	0	0	0	0	0	0	no	0
1630	RP2	0	1	0	0	0	0	1	1	YES	0
1631	MLNR	0	1	0	0	0	0	0	0	no	0
1632	OLFM4	0	1	0	0	0	0	1	0	no	0
1633	MMP2	0	1	0	0	1	0	0	0	no	1
1634	CORO1A	0	1	0	0	0	0	0	0	no	1
1635	CBLN1	0	1	0	0	0	0	1	0	no	0
1636	PARD6A	0	1	0	0	0	0	0	0	no	1
1637	SMPD3	0	1	0	1	0	0	1	0	no	1
1638	ARHGDIG	0	1	0	0	0	0	0	1	YES	0
1639	HMOX2	0	1	0	0	0	0	0	0	no	1
1640	CDIPT	0	1	0	1	0	0	0	1	YES	0
1641	AQP9	0	1	0	1	0	1	0	0	no	0
1642	CEMIP	0	1	0	0	0	0	0	0	no	0
1643	EHD4	0	1	0	0	0	0	0	1	YES	0
1644	TGM5	0	1	0	0	0	0	0	0	no	0
1645	RHOV	0	1	0	0	0	0	1	0	no	0
1646	PAG1	0	1	0	1	1	1	0	1	YES	0
1647	SFRP1	0	1	0	0	0	0	0	0	no	1
1648	PLAT	0	1	1	1	0	0	0	0	no	1
1649	GSR	0	1	0	0	0	0	0	1	YES	0
1650	TNFRSF10A	0	1	0	0	0	1	0	0	no	1
1651	STXBP2	0	1	0	0	0	0	0	0	no	1
1652	KCNA7	0	1	0	0	0	1	0	0	no	0
1653	LIN7B	0	1	0	0	1	0	1	0	no	0
1654	FCGRT	0	1	1	0	0	0	0	0	no	0
1655	SLC17A7	0	1	0	0	0	0	0	0	no	0
1656	CYP4F2	0	1	0	0	0	0	0	0	no	0
1657	FSD1	0	1	0	0	0	0	0	0	no	0
1658	APLP1	0	1	1	1	0	0	0	0	no	0
1659	TGFB1	0	1	1	0	0	0	0	0	no	1
1660	CD79A	0	1	1	1	0	1	1	0	no	0
1661	LIM2	0	1	0	0	0	0	0	0	no	0
1662	NKG7	0	1	0	0	0	1	0	0	no	1
1663	ICAM5	0	1	1	0	1	1	0	0	no	0
1664	CEACAM5	0	1	0	0	0	1	0	1	YES	0
1665	RABAC1	0	1	0	0	0	0	0	0	no	1
1666	CNFN	0	1	0	0	0	0	0	0	no	1
1667	RAB3D	0	1	0	0	1	0	0	0	no	1
1668	CACNG7	0	1	0	1	0	1	0	0	no	0
1669	SLC5A5	0	1	0	0	0	0	0	0	no	0
1670	ARRDC2	0	1	0	0	0	0	0	0	no	1
1671	RAB3A	0	1	0	0	1	0	0	0	no	1
1672	PSENEN	0	1	0	1	0	1	0	0	no	0
1673	UPK1A	0	1	0	1	1	1	0	0	no	0
1674	SIPA1L3	0	1	0	0	0	0	1	0	no	1
1675	CADM4	0	1	1	0	0	1	0	0	no	1
1676	ABCF2	0	1	0	0	0	0	0	0	no	1
1677	PON2	0	1	1	0	0	0	0	0	no	0
1678	MPP6	0	1	0	0	0	0	0	0	no	0
1679	CAV2	0	1	0	1	1	1	1	0	no	1
1680	TSPAN12	0	1	0	1	0	1	0	0	no	1
1681	STX1A	0	1	0	0	1	1	1	0	no	0
1682	NOD1	0	1	0	0	0	0	1	0	no	1
1683	PDAP1	0	1	0	0	0	0	0	1	YES	0
1684	WASL	0	1	0	0	0	0	0	0	no	1
1685	HYAL4	0	1	0	0	0	0	0	0	no	0
1686	SERPINE1	0	1	0	0	0	0	0	0	no	1
1687	C5	0	1	0	0	0	1	0	0	no	0
1688	PLGRKT	0	1	0	0	0	1	1	0	no	1
1689	C8G	0	1	0	0	0	1	0	0	no	1
1690	VIM	0	1	1	0	0	0	0	0	no	1
1691	BLNK	0	1	0	0	1	0	0	1	YES	0
1692	WNT3	0	1	0	0	0	0	0	0	no	0
1693	TAX1BP3	0	1	0	0	0	0	1	0	no	1
1694	RPS6KB1	0	1	0	0	0	0	0	0	no	1
1695	RASD1	0	1	0	0	0	0	0	1	YES	0
1696	CPD	0	1	1	1	0	0	0	0	no	1
1697	AKAP10	0	1	0	0	0	0	0	1	YES	0
1698	ALDH3A1	0	1	0	0	0	0	0	1	YES	0
1699	ASIC2	0	1	0	1	0	1	1	0	no	0
1700	DUSP3	0	1	0	0	0	0	0	0	no	1
1701	RANGRF	0	1	0	0	0	0	0	0	no	1
1702	VTN	0	1	1	0	0	0	0	0	no	1
1703	TMEM97	0	1	0	1	0	0	1	1	YES	0
1704	CD38	0	1	1	0	1	0	0	1	YES	0
1705	JADE1	0	1	0	0	0	0	0	0	no	1
1706	MANBA	0	1	0	0	0	0	0	0	no	1
1707	SPA17	0	1	0	0	0	0	0	0	no	1
1708	CRYAB	0	1	0	0	0	0	0	1	YES	0
1709	CRTAM	0	1	0	0	0	1	0	0	no	0
1710	HSPA8	0	1	1	0	0	0	0	0	no	1
1711	PANX1	0	1	1	1	0	0	0	1	YES	0
1712	BIRC2	0	1	0	0	0	1	0	0	no	1
1713	PXN	0	1	0	0	0	0	0	0	no	1
1714	SLC25A3	0	1	0	1	0	1	0	0	no	1
1715	ASIC1	0	1	1	0	0	1	0	1	YES	0
1716	MLEC	0	1	0	1	0	0	0	0	no	0
1717	SYT10	0	1	0	0	0	0	0	0	no	1
1718	FGF6	0	1	0	1	0	0	0	0	no	0
1719	GPRC5D	0	1	0	0	0	0	0	0	no	0
1720	LTBR	0	1	1	0	0	1	0	0	no	1
1721	OAS3	0	1	0	0	0	0	0	1	YES	0
1722	ART4	0	1	0	1	0	0	0	0	no	1
1723	FZD10	0	1	0	0	0	1	0	0	no	1
1724	CNOT2	0	1	0	0	0	0	0	0	no	1
1725	GAPDH	0	1	1	0	0	0	0	1	YES	0
1726	GNB3	0	1	0	0	0	0	0	1	YES	0
1727	ENO2	0	1	0	0	0	0	1	1	YES	0
1728	HCFC2	0	1	0	0	0	0	0	1	YES	0
1729	RAB35	0	1	0	0	0	0	1	0	no	0
1730	IYD	0	1	0	1	0	1	0	1	YES	0
1731	ADTRP	0	1	0	1	0	0	0	0	no	1
1732	ULBP1	0	1	0	0	0	1	0	1	YES	0
1733	SLC44A4	0	1	0	1	0	0	1	0	no	0
1734	TULP1	0	1	0	0	0	0	0	0	no	0
1735	CAP2	0	1	0	0	0	0	0	1	YES	0
1736	GPR63	0	1	0	0	1	0	0	1	YES	0
1737	UNC93A	0	1	0	1	0	0	0	0	no	0
1738	GUCA1B	0	1	0	0	0	0	0	0	no	0
1739	PRPH2	0	1	0	0	1	1	0	0	no	0
1740	EXOC2	0	1	0	0	1	0	0	0	no	1
1741	TMEM30A	0	1	1	1	0	0	1	0	no	1
1742	ENPP5	0	1	0	1	0	0	0	0	no	0
1743	CDH9	0	1	1	1	0	1	0	0	no	0
1744	SPARC	0	1	0	0	0	0	0	0	no	0
1745	PCDHB5	0	1	0	1	0	1	0	0	no	0
1746	PCDHB7	0	1	0	1	0	1	0	0	no	0
1747	LNPEP	0	1	1	1	0	1	1	0	no	0
1748	LTF	0	1	1	0	0	0	0	0	no	0
1749	HRG	0	1	0	0	1	0	0	0	no	1
1750	ECT2	0	1	0	0	0	0	0	0	no	1
1751	GNAT1	0	1	0	0	0	1	0	0	no	0
1752	ABTB1	0	1	0	0	0	0	0	0	no	1
1753	TFPI	0	1	1	0	0	0	0	0	no	1
1754	APOB	0	1	1	0	1	0	0	0	no	1
1755	NDUFS7	0	1	0	0	0	0	0	0	no	0
1756	EVA1A	0	1	0	0	0	0	0	1	YES	0
1757	IGFBP2	0	1	0	0	0	0	0	0	no	1
1758	WNT6	0	1	0	0	0	0	0	0	no	0
1759	IL1RL1	0	1	0	0	0	0	0	0	no	1
1760	IL18R1	0	1	1	0	0	0	0	0	no	1
1761	SLC9A2	0	1	0	1	0	0	0	0	no	1
1762	PPP3R1	0	1	0	0	0	0	0	1	YES	0
1763	PLEK	0	1	0	0	0	0	0	0	no	1
1764	PRTN3	0	1	0	0	1	0	1	0	no	0
1765	KISS1R	0	1	0	0	0	1	0	1	YES	0
1766	GRIN3B	0	1	0	1	0	1	1	0	no	0
1767	ENO1	0	1	1	0	0	0	1	1	YES	0
1768	TPSG1	0	1	0	0	0	1	0	0	no	0
1769	TMEM59	0	1	0	1	0	0	1	0	no	0
1770	DLGAP3	0	1	0	0	0	0	1	0	no	0
1771	RGS2	0	1	0	0	1	0	0	0	no	1
1772	WARS2	0	1	0	0	0	0	0	1	YES	0
1773	OSCP1	0	1	0	0	0	0	1	1	YES	0
1774	RAB29	0	1	0	0	0	0	0	0	no	1
1775	SLC19A2	0	1	1	1	0	0	0	0	no	1
1776	VAMP4	0	1	0	0	0	0	0	0	no	1
1777	SLC5A9	0	1	0	1	0	1	0	0	no	1
1778	APOA1	0	1	0	0	0	0	0	0	no	1
1779	SLC8A2	0	1	0	1	0	1	1	0	no	0
1780	ATIC	0	1	0	0	0	0	0	1	YES	0
1781	FILIP1	0	1	0	0	0	0	0	1	YES	0
1782	ABCG2	0	1	0	1	1	0	0	1	YES	0
1783	STBD1	0	1	0	0	0	1	0	0	no	1
1784	C2orf40	0	1	0	0	0	0	0	0	no	0
1785	SERPINB10	0	1	0	0	0	0	0	0	no	0
1786	FLVCR2	0	1	0	0	0	0	0	0	no	0
1787	TGFB3	0	1	0	0	0	0	0	0	no	1
1788	YIPF4	0	1	0	0	0	0	0	1	YES	0
1789	PRLHR	0	1	0	0	0	1	0	0	no	0
1790	LRP11	0	1	1	0	0	0	0	0	no	1
1791	ARAP3	0	1	0	0	0	0	0	0	no	0
1792	PCDHB8	0	1	0	1	0	1	0	0	no	0
1793	PCDHB10	0	1	0	0	0	1	0	0	no	0
1794	PCDHB14	0	1	0	1	0	1	0	0	no	1
1795	TNN	0	1	0	0	0	0	0	0	no	0
1796	PDZD11	0	1	0	0	0	0	0	0	no	0
1797	MYOT	0	1	0	0	0	0	0	0	no	0
1798	FZD3	0	1	0	0	1	0	1	0	no	0
1799	TAS2R8	0	1	0	0	0	0	0	0	no	0
1800	TAS2R10	0	1	0	0	0	0	0	0	no	0
1801	TAS2R7	0	1	0	0	0	0	0	0	no	0
1802	TAS2R9	0	1	0	0	0	0	0	0	no	0
1803	MAPK8IP1	0	1	0	0	0	0	1	1	YES	0
1804	CAT	0	1	0	0	0	0	0	0	no	1
1805	GJB6	0	1	0	1	0	0	0	0	no	1
1806	GJA3	0	1	0	1	0	0	0	0	no	0
1807	SLITRK3	0	1	1	1	0	0	0	0	no	1
1808	CSMD2	0	1	0	0	0	0	0	0	no	0
1809	BBS9	0	1	0	0	0	0	0	0	no	0
1810	RAMP3	0	1	1	0	1	1	1	0	no	0
1811	CLTA	0	1	0	0	0	0	0	0	no	1
1812	CNTFR	0	1	1	0	1	1	0	0	no	0
1813	DYNLL1	0	1	0	0	0	0	0	0	no	1
1814	HVCN1	0	1	0	0	0	1	0	0	no	0
1815	ADGRE5	0	1	1	1	0	1	0	0	no	1
1816	CCDC70	0	1	0	0	0	0	0	0	no	0
1817	ATP7B	0	1	0	1	0	1	1	0	no	1
1818	RAB9B	0	1	0	0	0	0	0	0	no	0
1819	RIF1	0	1	0	1	0	0	0	1	YES	0
1820	ACVR1C	0	1	0	0	0	1	0	0	no	0
1821	SLC36A1	0	1	0	0	0	0	0	0	no	0
1822	KCNJ2	0	1	0	0	0	1	0	0	no	0
1823	C4BPB	0	1	1	0	0	0	0	0	no	0
1824	RAB38	0	1	0	0	0	0	0	0	no	1
1825	GPR83	0	1	0	1	0	0	0	0	no	0
1826	INHA	0	1	0	0	0	0	0	0	no	1
1827	PI3	0	1	0	0	0	0	0	1	YES	0
1828	PLCG1	0	1	0	0	1	0	0	0	no	1
1829	RAB22A	0	1	0	0	0	0	0	0	no	1
1830	PTGIS	0	1	0	1	0	0	0	0	no	1
1831	RNF114	0	1	0	0	0	0	0	1	YES	0
1832	LIPE	0	1	0	0	0	0	0	0	no	1
1833	LYPD3	0	1	1	1	0	1	0	0	no	1
1834	PACSIN1	0	1	0	0	0	0	0	0	no	1
1835	BTN3A3	0	1	1	1	0	0	0	0	no	0
1836	HIST1H1A	0	1	0	0	0	0	0	0	no	0
1837	OR2B6	0	1	0	0	0	0	0	0	no	0
1838	NRN1	0	1	0	0	0	0	0	0	no	0
1839	BBS2	0	1	0	0	0	0	0	0	no	0
1840	GOT2	0	1	0	0	0	0	1	0	no	0
1841	RAP2A	0	1	0	0	1	0	0	0	no	0
1842	SLC22A5	0	1	1	0	0	1	0	0	no	1
1843	ARMC7	0	1	0	0	0	1	0	0	no	1
1844	LILRB3	0	1	0	0	0	1	0	0	no	0
1845	PSD4	0	1	0	0	0	0	1	0	no	0
1846	CD70	0	1	1	0	0	1	0	0	no	1
1847	C3	0	1	1	0	0	0	0	0	no	0
1848	RTN2	0	1	0	1	0	0	0	0	no	1
1849	VASP	0	1	0	0	0	0	1	1	YES	0
1850	SYMPK	0	1	0	0	1	0	0	1	YES	0
1851	CD93	0	1	0	1	0	0	0	1	YES	0
1852	CST8	0	1	0	0	0	0	0	0	no	0
1853	LAMP5	0	1	0	1	0	0	1	0	no	1
1854	DEFB129	0	1	0	0	0	0	0	0	no	0
1855	S1PR4	0	1	1	0	0	1	0	0	no	1
1856	LRFN3	0	1	0	1	0	0	1	0	no	0
1857	IGFLR1	0	1	0	0	0	0	0	0	no	1
1858	CAPNS1	0	1	1	0	0	0	1	0	no	1
1859	HCST	0	1	0	1	0	0	0	0	no	1
1860	ARL2	0	1	0	0	0	0	0	0	no	1
1861	RRAS	0	1	0	0	1	0	1	0	no	1
1862	HSPA2	0	1	0	0	0	0	0	0	no	1
1863	SGPP1	0	1	0	0	0	0	0	0	no	1
1864	TRAF2	0	1	0	0	1	1	0	0	no	1
1865	TAS2R3	0	1	0	0	0	0	0	0	no	0
1866	TAS2R4	0	1	0	1	0	0	0	0	no	0
1867	TAS2R5	0	1	0	1	0	0	0	0	no	0
1868	KIF17	0	1	0	0	0	0	0	1	YES	0
1869	OR7A10	0	1	0	1	0	0	0	0	no	0
1870	EPS15L1	0	1	0	0	0	0	1	0	no	1
1871	OR7C2	0	1	0	1	1	0	0	0	no	0
1872	OR7C1	0	1	0	1	0	0	0	0	no	0
1873	F2RL3	0	1	1	0	0	1	0	0	no	0
1874	JPT2	0	1	0	0	0	0	0	1	YES	0
1875	RAB40C	0	1	0	0	0	0	0	0	no	0
1876	GNG13	0	1	0	0	0	1	0	0	no	0
1877	OR1E2	0	1	0	1	1	1	0	0	no	0
1878	VIL1	0	1	0	0	0	0	0	1	YES	0
1879	AAMP	0	1	0	0	0	0	0	0	no	1
1880	HSPB1	0	1	0	0	1	0	0	1	YES	0
1881	GNG11	0	1	0	0	0	1	0	0	no	0
1882	GNGT1	0	1	0	0	0	1	0	0	no	0
1883	LRFN1	0	1	1	0	0	0	1	0	no	0
1884	CYTH4	0	1	0	0	0	0	0	0	no	0
1885	GGT1	0	1	1	0	1	0	0	0	no	1
1886	YWHAH	0	1	0	0	0	0	0	0	no	0
1887	CDC42EP1	0	1	0	0	0	0	0	1	YES	0
1888	RAC2	0	1	0	0	1	0	0	0	no	0
1889	TAS2R16	0	1	0	0	0	0	0	0	no	0
1890	LRRC4	0	1	0	0	1	0	1	0	no	1
1891	SMO	0	1	1	0	1	0	0	0	no	0
1892	SIRT2	0	1	0	0	0	0	0	0	no	1
1893	DLL4	0	1	0	1	0	0	0	0	no	0
1894	AMOTL2	0	1	0	0	0	0	0	0	no	1
1895	ACKR4	0	1	0	1	0	1	1	0	no	1
1896	COPB1	0	1	0	0	0	0	1	0	no	1
1897	USP6	0	1	0	0	0	0	1	0	no	1
1898	CD68	0	1	1	1	0	0	0	0	no	1
1899	ATP1B2	0	1	1	1	0	1	0	0	no	0
1900	RAP1B	0	1	0	0	1	0	1	0	no	0
1901	CHRNA10	0	1	0	0	0	1	1	0	no	0
1902	ABHD17A	0	1	0	0	0	0	1	0	no	1
1903	CNGB1	0	1	0	1	0	1	0	0	no	1
1904	NALCN	0	1	0	1	0	0	0	0	no	0
1905	HCN2	0	1	0	0	1	1	0	0	no	0
1906	LILRA1	0	1	1	0	0	0	0	0	no	0
1907	LILRA2	0	1	0	0	0	1	0	0	no	0
1908	MAST1	0	1	0	0	0	0	1	0	no	1
1909	PLPPR2	0	1	0	0	0	1	0	0	no	1
1910	ESYT2	0	1	0	0	0	1	1	0	no	1
1911	SNX4	0	1	0	0	0	0	0	0	no	0
1912	RAF1	0	1	0	0	1	0	1	0	no	1
1913	TSG101	0	1	0	0	0	0	0	1	YES	0
1914	TRPC4AP	0	1	0	0	0	0	0	0	no	1
1915	PCDHGA12	0	1	1	1	0	1	0	1	YES	0
1916	PCDHGC5	0	1	1	0	0	1	0	1	YES	0
1917	MICB	0	1	1	1	0	0	0	0	no	1
1918	KRT5	0	1	0	0	0	0	0	0	no	1
1919	KRT1	0	1	1	0	0	0	1	0	no	0
1920	FAM155B	0	1	0	0	0	0	0	0	no	0
1921	NECTIN2	0	1	1	1	0	1	0	0	no	1
1922	APOE	0	1	0	0	1	0	0	0	no	1
1923	ACE2	0	1	0	0	1	0	1	0	no	0
1924	PLVAP	0	1	1	0	1	0	0	0	no	0
1925	SLC27A1	0	1	0	0	0	0	0	1	YES	0
1926	EPO	0	1	0	0	0	0	0	0	no	0
1927	FCHO1	0	1	0	0	0	0	0	0	no	1
1928	TRPM4	0	1	0	0	0	1	0	1	YES	0
1929	OR11H1	0	1	0	1	0	0	0	0	no	0
1930	ATXN10	0	1	0	0	0	0	0	1	YES	0
1931	CALY	0	1	0	1	1	1	0	0	no	0
1932	CCDC62	0	1	0	0	0	0	0	1	YES	0
1933	SLC6A8	0	1	1	1	0	1	0	0	no	0
1934	AKAP12	0	1	0	0	0	0	0	1	YES	0
1935	DEFB118	0	1	0	0	0	0	0	0	no	0
1936	EDA2R	0	1	0	0	0	1	0	0	no	1
1937	F12	0	1	0	0	0	0	0	0	no	0
1938	ADGRE3	0	1	1	1	0	0	0	0	no	0
1939	RBSN	0	1	0	0	0	0	1	0	no	1
1940	PDLIM4	0	1	0	0	0	0	0	0	no	1
1941	ACLY	0	1	0	0	0	0	0	1	YES	0
1942	RAMP2	0	1	0	1	1	1	0	0	no	1
1943	AOC2	0	1	0	1	0	0	1	0	no	0
1944	PCDHGA3	0	1	0	0	0	1	0	1	YES	0
1945	ATP6V0A4	0	1	0	1	0	0	1	0	no	1
1946	EXOC4	0	1	0	0	0	0	0	0	no	1
1947	TMEM204	0	1	0	0	0	0	0	0	no	0
1948	RARA	0	1	0	0	0	0	0	0	no	1
1949	SLC6A11	0	1	1	0	0	1	0	0	no	0
1950	HSD17B7	0	1	0	0	0	0	0	0	no	0
1951	RRP8	0	1	0	0	0	0	0	0	no	1
1952	EFR3A	0	1	0	0	0	0	1	1	YES	0
1953	PTCD3	0	1	0	0	0	0	0	0	no	1
1954	RAMP1	0	1	0	1	0	1	0	0	no	1
1955	RAP1GAP2	0	1	0	0	0	0	0	0	no	1
1956	LANCL2	0	1	0	0	0	0	1	0	no	1
1957	SLC52A1	0	1	0	1	0	1	0	0	no	0
1958	REEP2	0	1	0	1	0	1	0	0	no	0
1959	VPS4A	0	1	0	0	0	0	0	0	no	0
1960	SNAP25	0	1	0	0	0	1	1	0	no	0
1961	ACY3	0	1	0	0	0	0	1	0	no	0
1962	SERINC3	0	1	0	1	0	0	0	0	no	0
1963	SYT4	0	1	0	0	0	0	0	1	YES	0
1964	SLC14A2	0	1	0	0	0	0	1	0	no	0
1965	NMUR2	0	1	0	0	0	0	0	0	no	0
1966	PDE6A	0	1	0	0	1	0	0	0	no	0
1967	PEMT	0	1	0	1	1	0	0	0	no	1
1968	DCLK1	0	1	0	1	0	1	0	0	no	1
1969	ATP13A3	0	1	0	1	0	1	0	1	YES	0
1970	KRAS	0	1	0	0	0	1	0	0	no	0
1971	LYVE1	0	1	0	1	0	1	1	0	no	0
